dates,url,title,scores
2019-03-11,https://www.businessinsider.com/tesla-raising-prices-on-cars-model-3-s-and-x-2019-3,Tesla is raising the prices on cars that it marked down less than 2 weeks ago (TSLA),0.07560322580645161
2019-03-12,https://www.businessinsider.com/stock-market-news-opening-bell-march-12-2019-2019-3,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, TSLA, BA, AAPL, WFC, SFIX)",0.27795
2019-03-14,https://www.businessinsider.com/tesla-stock-price-tesla-in-demand-hell-ahead-of-model-y-bear-says-2019-3,"Tesla is in 'demand hell' ahead of its Model Y unveiling, Wall Street's biggest bear says (TSLA)",0.05655000000000001
2019-04-04,https://markets.businessinsider.com/news/stocks/stock-market-news-opening-bell-april-4-2019-2019-4-1028085583,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, BA, TSLA, LYFT)",-0.14366595744680852
2019-04-05,https://markets.businessinsider.com/news/stocks/stock-market-news-opening-bell-april-5-2019-2019-4-1028088975,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, TSLA, BA, AMZN, TW)",0.07700909090909092
2019-04-04,https://www.businessinsider.com/stock-market-news-opening-bell-april-4-2019-2019-4,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, BA, TSLA, LYFT)",-0.10331176470588235
2019-03-20,https://www.businessinsider.com/tesla-stock-investor-sells-stake-elon-musk-commentary-what-hes-buying-instead-alex-chalekian-2019-3,"A former Tesla investor explains why he thinks Elon Musk is the wrong person to lead the company, why he dumped the stock, and what he’s now buying instead (TSLA)",-0.007234782608695644
2019-03-14,https://www.businessinsider.com/tesla-stock-price-rallies-ahead-of-model-y-unveiling-2019-3,Tesla stock is gaining ground ahead of its Model Y unveiling (TSLA),-0.011510000000000003
2019-04-04,https://markets.businessinsider.com/news/stocks/tesla-stock-price-nearing-key-level-heres-what-pros-say-2019-4-1028087486,Tesla's stock is nearing a key price. Here's what the pros are saying. (TSLA),0.18234999999999998
2019-03-11,https://www.businessinsider.com/tesla-removes-commission-standard-cars-including-35000-model-3-2019-3,Tesla slashed prices for the Model 3 — but took away any incentive for its employees to sell the new version (TSLA),-0.05264166666666667
2019-03-14,https://www.businessinsider.com/tesla-stock-price-tesla-is-in-its-third-stage-of-hell-with-model-3-2019-3,Tesla's in the third version of 'hell' with its Model 3 — and it launching an SUV could make even things worse (TSLA),0.2448583333333333
